ano_censo;cagt_adm;sub_cat_adm;id_cat_adm;num_alunos;grau_academ;nome_mod_ensino
2017;PÚBLICA;FEDERAL;1;25630;-;PRESENCIAL
2017;PÚBLICA;FEDERAL;1;829728;BACHARELADO;PRESENCIAL
2017;PÚBLICA;FEDERAL;1;282889;LICENCIATURA;PRESENCIAL
2017;PÚBLICA;FEDERAL;1;66709;TECNOLÓGICO;PRESENCIAL
2017;PÚBLICA;ESTADUAL;2;9748;-;PRESENCIAL
2017;PÚBLICA;ESTADUAL;2;299758;BACHARELADO;PRESENCIAL
2017;PÚBLICA;ESTADUAL;2;192874;LICENCIATURA;PRESENCIAL
2017;PÚBLICA;ESTADUAL;2;77235;TECNOLÓGICO;PRESENCIAL
2017;PÚBLICA;MUNICIPAL;3;76853;BACHARELADO;PRESENCIAL
2017;PÚBLICA;MUNICIPAL;3;15931;LICENCIATURA;PRESENCIAL
2017;PÚBLICA;MUNICIPAL;3;2429;TECNOLÓGICO;PRESENCIAL
2017;PRIVADA;PRIVADA;4;205;-;PRESENCIAL
2017;PRIVADA;PRIVADA;4;3906852;BACHARELADO;PRESENCIAL
2017;PRIVADA;PRIVADA;4;354278;LICENCIATURA;PRESENCIAL
2017;PRIVADA;PRIVADA;4;388562;TECNOLÓGICO;PRESENCIAL
2016;PÚBLICA;FEDERAL;1;24046;-;PRESENCIAL
2016;PÚBLICA;FEDERAL;1;806047;BACHARELADO;PRESENCIAL
2016;PÚBLICA;FEDERAL;1;279953;LICENCIATURA;PRESENCIAL
2016;PÚBLICA;FEDERAL;1;65604;TECNOLÓGICO;PRESENCIAL
2016;PÚBLICA;ESTADUAL;2;7949;-;PRESENCIAL
2016;PÚBLICA;ESTADUAL;2;296591;BACHARELADO;PRESENCIAL
2016;PÚBLICA;ESTADUAL;2;198028;LICENCIATURA;PRESENCIAL
2016;PÚBLICA;ESTADUAL;2;75399;TECNOLÓGICO;PRESENCIAL
2016;PÚBLICA;MUNICIPAL;3;91805;BACHARELADO;PRESENCIAL
2016;PÚBLICA;MUNICIPAL;3;19252;LICENCIATURA;PRESENCIAL
2016;PÚBLICA;MUNICIPAL;3;2803;TECNOLÓGICO;PRESENCIAL
2016;PRIVADA;PRIVADA;4;247;-;PRESENCIAL
2016;PRIVADA;PRIVADA;4;3889503;BACHARELADO;PRESENCIAL
2016;PRIVADA;PRIVADA;4;382934;LICENCIATURA;PRESENCIAL
2016;PRIVADA;PRIVADA;4;414122;TECNOLÓGICO;PRESENCIAL
2015;PÚBLICA;FEDERAL;1;22061;-;PRESENCIAL
2015;PÚBLICA;FEDERAL;1;782325;BACHARELADO;PRESENCIAL
2015;PÚBLICA;FEDERAL;1;268405;LICENCIATURA;PRESENCIAL
2015;PÚBLICA;FEDERAL;1;60381;TECNOLÓGICO;PRESENCIAL
2015;PÚBLICA;ESTADUAL;2;6839;-;PRESENCIAL
2015;PÚBLICA;ESTADUAL;2;291901;BACHARELADO;PRESENCIAL
2015;PÚBLICA;ESTADUAL;2;201739;LICENCIATURA;PRESENCIAL
2015;PÚBLICA;ESTADUAL;2;74166;TECNOLÓGICO;PRESENCIAL
2015;PÚBLICA;MUNICIPAL;3;19;-;PRESENCIAL
2015;PÚBLICA;MUNICIPAL;3;92015;BACHARELADO;PRESENCIAL
2015;PÚBLICA;MUNICIPAL;3;20891;LICENCIATURA;PRESENCIAL
2015;PÚBLICA;MUNICIPAL;3;3010;TECNOLÓGICO;PRESENCIAL
2015;PRIVADA;PRIVADA;4;155;-;PRESENCIAL
2015;PRIVADA;PRIVADA;4;3913832;BACHARELADO;PRESENCIAL
2015;PRIVADA;PRIVADA;4;415895;LICENCIATURA;PRESENCIAL
2015;PRIVADA;PRIVADA;4;479911;TECNOLÓGICO;PRESENCIAL
2014;PÚBLICA;FEDERAL;1;17283;-;PRESENCIAL
2014;PÚBLICA;FEDERAL;1;743784;BACHARELADO;PRESENCIAL
2014;PÚBLICA;FEDERAL;1;264891;LICENCIATURA;PRESENCIAL
2014;PÚBLICA;FEDERAL;1;57628;TECNOLÓGICO;PRESENCIAL
2014;PÚBLICA;ESTADUAL;2;4587;-;PRESENCIAL
2014;PÚBLICA;ESTADUAL;2;287156;BACHARELADO;PRESENCIAL
2014;PÚBLICA;ESTADUAL;2;211585;LICENCIATURA;PRESENCIAL
2014;PÚBLICA;ESTADUAL;2;73340;TECNOLÓGICO;PRESENCIAL
2014;PÚBLICA;MUNICIPAL;3;24;-;PRESENCIAL
2014;PÚBLICA;MUNICIPAL;3;128832;BACHARELADO;PRESENCIAL
2014;PÚBLICA;MUNICIPAL;3;27871;LICENCIATURA;PRESENCIAL
2014;PÚBLICA;MUNICIPAL;3;4648;TECNOLÓGICO;PRESENCIAL
2014;PRIVADA;PRIVADA;4;303;-;PRESENCIAL
2014;PRIVADA;PRIVADA;4;3733135;BACHARELADO;PRESENCIAL
2014;PRIVADA;PRIVADA;4;421595;LICENCIATURA;PRESENCIAL
2014;PRIVADA;PRIVADA;4;509509;TECNOLÓGICO;PRESENCIAL
2013;PÚBLICA;FEDERAL;1;11775;-;PRESENCIAL
2013;PÚBLICA;FEDERAL;1;714720;BACHARELADO;PRESENCIAL
2013;PÚBLICA;FEDERAL;1;262793;LICENCIATURA;PRESENCIAL
2013;PÚBLICA;FEDERAL;1;56219;TECNOLÓGICO;PRESENCIAL
