ano_concl;num_concl;id_cat_adm;cat;sub_cat_adm;nome_grau_acd;nome_mod_ensi;;total_alunos_fem;ano_fem
2017;55450;1;PÚBLICA;FEDERAL;BACHARELADO;PRESENCIAL;;81615;2017
2017;22573;1;PÚBLICA;FEDERAL;LICENCIATURA;PRESENCIAL;;78764;2016
2017;3592;1;PÚBLICA;FEDERAL;TECNOLÓGICO;PRESENCIAL;;71593;2015
2016;52128;1;PÚBLICA;FEDERAL;BACHARELADO;PRESENCIAL;;69366;2014
2016;23237;1;PÚBLICA;FEDERAL;LICENCIATURA;PRESENCIAL;;61031;2013
2016;3399;1;PÚBLICA;FEDERAL;TECNOLÓGICO;PRESENCIAL;;53002;2012
2015;46814;1;PÚBLICA;FEDERAL;BACHARELADO;PRESENCIAL;;53909;2011
2015;21494;1;PÚBLICA;FEDERAL;LICENCIATURA;PRESENCIAL;;88544;2010
2015;3285;1;PÚBLICA;FEDERAL;TECNOLÓGICO;PRESENCIAL;;48867;2009
2014;44552;1;PÚBLICA;FEDERAL;BACHARELADO;PRESENCIAL;;;
2014;21626;1;PÚBLICA;FEDERAL;LICENCIATURA;PRESENCIAL;;;
2014;3188;1;PÚBLICA;FEDERAL;TECNOLÓGICO;PRESENCIAL;;;
2013;39852;1;PÚBLICA;FEDERAL;BACHARELADO;PRESENCIAL;;;
2013;18267;1;PÚBLICA;FEDERAL;LICENCIATURA;PRESENCIAL;;;
2013;2912;1;PÚBLICA;FEDERAL;TECNOLÓGICO;PRESENCIAL;;;
2012;35495;1;PÚBLICA;FEDERAL;BACHARELADO;PRESENCIAL;;;
2012;15115;1;PÚBLICA;FEDERAL;LICENCIATURA;PRESENCIAL;;;
2012;2392;1;PÚBLICA;FEDERAL;TECNOLÓGICO;PRESENCIAL;;;
2011;34504;1;PÚBLICA;FEDERAL;BACHARELADO;PRESENCIAL;;;
2011;17254;1;PÚBLICA;FEDERAL;LICENCIATURA;PRESENCIAL;;;
2011;2151;1;PÚBLICA;FEDERAL;TECNOLÓGICO;PRESENCIAL;;;
2010;60574;1;PÚBLICA;FEDERAL;BACHARELADO;PRESENCIAL;;;
2010;23729;1;PÚBLICA;FEDERAL;LICENCIATURA;PRESENCIAL;;;
2010;4241;1;PÚBLICA;FEDERAL;TECNOLÓGICO;PRESENCIAL;;;
2009;29509;1;PÚBLICA;FEDERAL;BACHARELADO;PRESENCIAL;;;
2009;12926;1;PÚBLICA;FEDERAL;LICENCIATURA;PRESENCIAL;;;
2009;2633;1;PÚBLICA;FEDERAL;TECNOLÓGICO;PRESENCIAL;;;
2009;3799;1;PÚBLICA;FEDERAL;BACHARELADO E LICENCIATURA;PRESENCIAL;;;
